"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2019/03/01","00:00","0.495","-","1.12"
"2019/03/01","00:06","0.517","-","1.15"
"2019/03/01","00:12","0.539","-","1.17"
"2019/03/01","00:18","0.561","-","1.19"
"2019/03/01","00:24","0.583","-","1.2"
"2019/03/01","00:30","0.605","-","1.22"
"2019/03/01","00:36","0.627","-","1.24"
"2019/03/01","00:42","0.648","-","1.26"
"2019/03/01","00:48","0.669","-","1.3"
"2019/03/01","00:54","0.69","-","1.32"
"2019/03/01","01:00","0.711","-","1.36"
"2019/03/01","01:06","0.731","-","1.39"
"2019/03/01","01:12","0.75","-","1.43"
"2019/03/01","01:18","0.77","-","1.46"
"2019/03/01","01:24","0.788","-","1.49"
"2019/03/01","01:30","0.807","-","1.52"
"2019/03/01","01:36","0.824","-","1.53"
"2019/03/01","01:42","0.841","-","1.55"
"2019/03/01","01:48","0.857","-","1.58"
"2019/03/01","01:54","0.872","-","1.6"
"2019/03/01","02:00","0.886","-","1.59"
"2019/03/01","02:06","0.9","-","1.61"
"2019/03/01","02:12","0.912","-","1.62"
"2019/03/01","02:18","0.923","-","1.62"
"2019/03/01","02:24","0.934","-","1.65"
"2019/03/01","02:30","0.943","-","1.66"
"2019/03/01","02:36","0.95","-","1.67"
"2019/03/01","02:42","0.957","-","1.68"
"2019/03/01","02:48","0.962","-","1.7"
"2019/03/01","02:54","0.966","-","1.71"
"2019/03/01","03:00","0.968","-","1.73"
"2019/03/01","03:06","0.97","-","1.73"
"2019/03/01","03:12","0.97","-","1.74"
"2019/03/01","03:18","0.968","-","1.74"
"2019/03/01","03:24","0.965","-","1.74"
"2019/03/01","03:30","0.961","-","1.76"
"2019/03/01","03:36","0.955","-","1.76"
"2019/03/01","03:42","0.948","-","1.77"
"2019/03/01","03:48","0.94","-","1.78"
"2019/03/01","03:54","0.931","-","1.77"
"2019/03/01","04:00","0.92","-","1.77"
"2019/03/01","04:06","0.909","-","1.74"
"2019/03/01","04:12","0.896","-","1.73"
"2019/03/01","04:18","0.882","-","1.73"
"2019/03/01","04:24","0.868","-","1.71"
"2019/03/01","04:30","0.852","-","1.7"
"2019/03/01","04:36","0.836","-","1.66"
"2019/03/01","04:42","0.818","-","1.66"
"2019/03/01","04:48","0.801","-","1.66"
"2019/03/01","04:54","0.782","-","1.65"
"2019/03/01","05:00","0.763","-","1.63"
"2019/03/01","05:06","0.743","-","1.63"
"2019/03/01","05:12","0.723","-","1.6"
"2019/03/01","05:18","0.702","-","1.6"
"2019/03/01","05:24","0.681","-","1.57"
"2019/03/01","05:30","0.659","-","1.56"
"2019/03/01","05:36","0.637","-","1.53"
"2019/03/01","05:42","0.615","-","1.51"
"2019/03/01","05:48","0.593","-","1.49"
"2019/03/01","05:54","0.57","-","1.47"
"2019/03/01","06:00","0.547","-","1.46"
"2019/03/01","06:06","0.524","-","1.44"
"2019/03/01","06:12","0.5","-","1.42"
"2019/03/01","06:18","0.477","-","1.4"
"2019/03/01","06:24","0.453","-","1.39"
"2019/03/01","06:30","0.43","-","1.37"
"2019/03/01","06:36","0.406","-","1.36"
"2019/03/01","06:42","0.382","-","1.35"
"2019/03/01","06:48","0.358","-","1.33"
"2019/03/01","06:54","0.335","-","1.3"
"2019/03/01","07:00","0.311","-","1.28"
"2019/03/01","07:06","0.288","-","1.27"
"2019/03/01","07:12","0.264","-","1.26"
"2019/03/01","07:18","0.241","-","1.25"
"2019/03/01","07:24","0.218","-","1.23"
"2019/03/01","07:30","0.196","-","1.21"
"2019/03/01","07:36","0.174","-","1.19"
"2019/03/01","07:42","0.153","-","1.18"
"2019/03/01","07:48","0.132","-","1.17"
"2019/03/01","07:54","0.112","-","1.17"
"2019/03/01","08:00","0.093","-","1.15"
"2019/03/01","08:06","0.075","-","1.17"
"2019/03/01","08:12","0.057","-","1.16"
"2019/03/01","08:18","0.041","-","1.15"
"2019/03/01","08:24","0.026","-","1.16"
"2019/03/01","08:30","0.012","-","1.17"
"2019/03/01","08:36","-0.001","-","1.17"
"2019/03/01","08:42","-0.012","-","1.19"
"2019/03/01","08:48","-0.022","-","1.17"
"2019/03/01","08:54","-0.03","-","1.18"
"2019/03/01","09:00","-0.037","-","1.2"
"2019/03/01","09:06","-0.043","-","1.2"
"2019/03/01","09:12","-0.046","-","1.21"
"2019/03/01","09:18","-0.048","-","1.21"
"2019/03/01","09:24","-0.049","-","1.24"
"2019/03/01","09:30","-0.047","-","1.24"
"2019/03/01","09:36","-0.044","-","1.25"
"2019/03/01","09:42","-0.04","-","1.26"
"2019/03/01","09:48","-0.034","-","1.29"
"2019/03/01","09:54","-0.026","-","1.31"
"2019/03/01","10:00","-0.017","-","1.31"
"2019/03/01","10:06","-0.006","-","1.33"
"2019/03/01","10:12","0.006","-","1.36"
"2019/03/01","10:18","0.02","-","1.4"
"2019/03/01","10:24","0.035","-","1.43"
"2019/03/01","10:30","0.051","-","1.46"
"2019/03/01","10:36","0.068","-","1.48"
"2019/03/01","10:42","0.086","-","1.51"
"2019/03/01","10:48","0.105","-","1.54"
"2019/03/01","10:54","0.125","-","1.56"
"2019/03/01","11:00","0.146","-","1.58"
"2019/03/01","11:06","0.167","-","1.61"
"2019/03/01","11:12","0.19","-","1.62"
"2019/03/01","11:18","0.212","-","1.65"
"2019/03/01","11:24","0.235","-","1.68"
"2019/03/01","11:30","0.259","-","1.7"
"2019/03/01","11:36","0.282","-","1.72"
"2019/03/01","11:42","0.306","-","1.75"
"2019/03/01","11:48","0.331","-","1.79"
"2019/03/01","11:54","0.355","-","1.81"
"2019/03/01","12:00","0.379","-","1.82"
"2019/03/01","12:06","0.404","-","1.85"
"2019/03/01","12:12","0.428","-","1.89"
"2019/03/01","12:18","0.453","-","1.91"
"2019/03/01","12:24","0.477","-","1.94"
"2019/03/01","12:30","0.501","-","1.95"
"2019/03/01","12:36","0.525","-","1.97"
"2019/03/01","12:42","0.549","-","2.01"
"2019/03/01","12:48","0.573","-","2.03"
"2019/03/01","12:54","0.597","-","2.06"
"2019/03/01","13:00","0.62","-","2.08"
"2019/03/01","13:06","0.643","-","2.12"
"2019/03/01","13:12","0.666","-","2.15"
"2019/03/01","13:18","0.689","-","2.17"
"2019/03/01","13:24","0.711","-","2.18"
"2019/03/01","13:30","0.733","-","2.2"
"2019/03/01","13:36","0.754","-","2.23"
"2019/03/01","13:42","0.775","-","2.24"
"2019/03/01","13:48","0.796","-","2.28"
"2019/03/01","13:54","0.816","-","2.27"
"2019/03/01","14:00","0.836","-","2.3"
"2019/03/01","14:06","0.855","-","2.32"
"2019/03/01","14:12","0.873","-","2.34"
"2019/03/01","14:18","0.89","-","2.36"
"2019/03/01","14:24","0.907","-","2.38"
"2019/03/01","14:30","0.923","-","2.39"
"2019/03/01","14:36","0.938","-","2.4"
"2019/03/01","14:42","0.952","-","2.41"
